brand, product_name, shipping
ASUS,ASUS PRO B9440 Ultra Thin and Light Business Laptop| 14" Wideview Full HD Narrow Bezel Display| Intel Core i5-7200U 2.5 GHz Processor| 512 GB SSD| 8 GB RAM| Windows 10 Pro| Fingerprint,$2.99 Shipping
Lenovo,Lenovo Laptop IdeaPad 330 81DE00L0US Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" Windows 10 Home 64-Bit,Free Shipping
Acer America,Acer Laptop Aspire 5 A515-51G-5504 Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce MX150 15.6" Windows 10 Home 64-Bit,$2.99 Shipping
Lenovo,Lenovo Laptop IdeaPad 330 81D2005CUS AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6" Windows 10 Home 64-Bit,Free Shipping
ASUS,ASUS VivoBook S Ultra Thin and Portable Laptop| Intel Core i5-8250U processor| 8 GB DDR4 RAM| 256 GB SSD| NVIDIA GeForce MX150 15.6" FHD WideView Display| ASUS NanoEdge Bezel| Metal Cover| FingerPrint,$2.99 Shipping
Lenovo,Lenovo Laptop ThinkPad E570 (20H50045US) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 620 15.6" Windows 10 Pro 64-Bit,Free Shipping
HP,HP Laptop ProBook 450 G5 (2ST09UT#ABA) Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" Windows 10 Pro 64-Bit,$2.99 Shipping
ASUS,ASUS ZenBook UX410UA-AS74 Ultra-Slim Laptop 14" FHD IPS WideView Display| Intel Core i7-8550U Up to 4.00 GHz Processor| 8 GB DDR4| 128 GB SSD + 1 TB HDD| Windows 10| Backlit Keyboard| 3.10 lbs.,$2.99 Shipping
HP,HP Laptop ProBook 430 G5 (3BB80UP#ABA) Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 128 GB SSD Intel UHD Graphics 620 13.3" Windows 10 Pro education  64-Bit,Free Shipping
HP,HP Stream 14-ax020nr (X7S45UA#ABA) Intel Celeron N3060 (1.60 GHz) 4 GB Memory 32 GB Flash Storage 14" 1366 x 768 Windows 10 Home,$2.99 Shipping
